[2023-09-29 10:12:46.126885] [gNB 3][rsc 0][Rx 0][sfn 327][slot 5] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -59.0 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:12:46.132359] [gNB 0][rsc 0][Rx 0][sfn 328][slot 2] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -52.8 dBm, SNR -2622080.2 dB, rsrp -78.9 dBm

[2023-09-29 10:12:46.132695] [gNB 1][rsc 0][Rx 0][sfn 328][slot 3] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -60.2 dBm, SNR -2622080.2 dB, rsrp -82.7 dBm

[2023-09-29 10:12:46.133038] [gNB 2][rsc 0][Rx 0][sfn 328][slot 4] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -54.9 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:46.133376] [gNB 3][rsc 0][Rx 0][sfn 328][slot 5] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -58.9 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 10:12:46.138960] [gNB 0][rsc 0][Rx 0][sfn 329][slot 2] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -52.9 dBm, SNR -2622080.2 dB, rsrp -79.2 dBm

[2023-09-29 10:12:46.139318] [gNB 1][rsc 0][Rx 0][sfn 329][slot 3] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -60.0 dBm, SNR +4.0 dB, rsrp -81.2 dBm

[2023-09-29 10:12:46.139636] [gNB 2][rsc 0][Rx 0][sfn 329][slot 4] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -55.0 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:46.139979] [gNB 3][rsc 0][Rx 0][sfn 329][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 10:12:46.145679] [gNB 0][rsc 0][Rx 0][sfn 330][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.5 dBm

[2023-09-29 10:12:46.145995] [gNB 1][rsc 0][Rx 0][sfn 330][slot 3] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -81.9 dBm

[2023-09-29 10:12:46.146338] [gNB 2][rsc 0][Rx 0][sfn 330][slot 4] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -54.8 dBm, SNR -2622080.2 dB, rsrp -80.7 dBm

[2023-09-29 10:12:46.146769] [gNB 3][rsc 0][Rx 0][sfn 330][slot 5] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -82.6 dBm

[2023-09-29 10:12:46.152359] [gNB 0][rsc 0][Rx 0][sfn 331][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -85.5 dBm

[2023-09-29 10:12:46.152698] [gNB 1][rsc 0][Rx 0][sfn 331][slot 3] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -60.5 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:46.153035] [gNB 2][rsc 0][Rx 0][sfn 331][slot 4] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -54.4 dBm, SNR -2622080.2 dB, rsrp -80.4 dBm

[2023-09-29 10:12:46.153464] [gNB 3][rsc 0][Rx 0][sfn 331][slot 5] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -58.7 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

[2023-09-29 10:12:46.158960] [gNB 0][rsc 0][Rx 0][sfn 332][slot 2] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -52.2 dBm, SNR +4.0 dB, rsrp -78.5 dBm

[2023-09-29 10:12:46.159303] [gNB 1][rsc 0][Rx 0][sfn 332][slot 3] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -60.5 dBm, SNR -2622080.2 dB, rsrp -82.8 dBm

[2023-09-29 10:12:46.159635] [gNB 2][rsc 0][Rx 0][sfn 332][slot 4] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-29 10:12:46.159997] [gNB 3][rsc 0][Rx 0][sfn 332][slot 5] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -59.1 dBm, SNR -2622080.2 dB, rsrp -83.0 dBm

[2023-09-29 10:12:46.165680] [gNB 0][rsc 0][Rx 0][sfn 333][slot 2] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -52.4 dBm, SNR -2622080.2 dB, rsrp -78.9 dBm

[2023-09-29 10:12:46.165995] [gNB 1][rsc 0][Rx 0][sfn 333][slot 3] DL PRS ToA ==> -7.0 / 4096 samples, peak channel power -60.4 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:46.166337] [gNB 2][rsc 0][Rx 0][sfn 333][slot 4] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-29 10:12:46.166761] [gNB 3][rsc 0][Rx 0][sfn 333][slot 5] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -59.0 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:12:46.172363] [gNB 0][rsc 0][Rx 0][sfn 334][slot 2] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -52.4 dBm, SNR -2622080.2 dB, rsrp -79.0 dBm

