[2023-09-28 15:09:58.072056] [gNB 2][rsc 0][Rx 0][sfn 73][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.2 dBm

[2023-09-28 15:09:58.072551] [gNB 3][rsc 0][Rx 0][sfn 73][slot 5] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-28 15:09:58.081070] [gNB 0][rsc 0][Rx 0][sfn 74][slot 2] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.9 dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 15:09:58.081544] [gNB 1][rsc 0][Rx 0][sfn 74][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-28 15:09:58.082061] [gNB 2][rsc 0][Rx 0][sfn 74][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -58.4 dBm, SNR +4.0 dB, rsrp -77.7 dBm

[2023-09-28 15:09:58.082550] [gNB 3][rsc 0][Rx 0][sfn 74][slot 5] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp -76.1 dBm

[2023-09-28 15:09:58.091065] [gNB 0][rsc 0][Rx 0][sfn 75][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.6 dBm

[2023-09-28 15:09:58.091549] [gNB 1][rsc 0][Rx 0][sfn 75][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-28 15:09:58.092065] [gNB 2][rsc 0][Rx 0][sfn 75][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.6 dBm

[2023-09-28 15:09:58.092561] [gNB 3][rsc 0][Rx 0][sfn 75][slot 5] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp -75.1 dBm

[2023-09-28 15:09:58.101074] [gNB 0][rsc 0][Rx 0][sfn 76][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.5 dBm

